system,eos,pvi,mu_o_min_mPa_s,mu_o_avg_mPa_s,mu_o_max_mPa_s,mu_w_min_mPa_s,mu_w_avg_mPa_s,mu_w_max_mPa_s
binary,PR,0.0,0.9360943002336831,0.9360943002336969,0.9360943002336831,0.0661716674922874,0.06617166749228584,0.0661716674922874
binary,PR,0.0025,0.9360042160001444,0.93609453254224,0.9361827371560709,0.06617024065199585,0.06617184423507191,0.06617306809923204
binary,PR,0.005,0.9360046236957591,0.9360947676472778,0.9361814275019864,0.0661702471097972,0.06617197729915972,0.06617304735879898
binary,PR,0.0075,0.9360050891058268,0.9360950049283848,0.9361806654119529,0.06617025448177818,0.06617208156900067,0.06617303528989031
binary,PR,0.01,0.9360055565008438,0.9360952440050424,0.9361801371140858,0.06617026188519629,0.06617216540777937,0.06617302692344566
binary,PR,0.0125,0.9360060262571639,0.9360954849373337,0.936179724595264,0.06617026932601325,0.06617223407930081,0.06617302039054555
binary,PR,0.015,0.9360064985931252,0.9360957277927189,0.9361793783488196,0.0661702768076864,0.06617229115926179,0.06617301490717249
binary,PR,0.0175,0.9360069736284168,0.9360959726191925,0.936179073984748,0.0661702843321128,0.06617233917615024,0.06617301008707285
binary,PR,0.02,0.936007451431746,0.9360962194465888,0.9361787981322016,0.06617029190037954,0.0661723799727037,0.06617300571849868
binary,PR,0.0225,0.9360079320435819,0.9360964682913075,0.936178542872618,0.06617029951312786,0.0661724149250628,0.06617300167604578
binary,PR,0.025,0.9360084154875378,0.9360967191603848,0.9361783032299316,0.06617030717073316,0.06617244508218108,0.06617299788091047
binary,PR,0.0275,0.9360089017775434,0.9360969720545137,0.9361780759223186,0.066170314873413,0.06617247125778,0.06617299428112122
binary,PR,0.03,0.9360093909063412,0.9360972269664654,0.9361778587765957,0.06617032262105559,0.06617249409370578,0.06617299084226054
binary,PR,0.0325,0.9360098829110556,0.9360974838976405,0.9361776500156025,0.06617033041424646,0.06617251409992346,0.06617298753618542
binary,PR,0.035,0.9360103777700804,0.9360977428335586,0.9361774485952931,0.06617033825264494,0.06617253169120599,0.06617298434636192
binary,PR,0.0375,0.936010875481067,0.9360980037633504,0.936177253647307,0.06617034613621363,0.0661725472054877,0.06617298125903685
binary,PR,0.04,0.9360113760402757,0.9360982666749186,0.9361770645096763,0.06617035406489079,0.06617256092154518,0.06617297826372832
binary,PR,0.0425,0.9360118794426804,0.9360985315552521,0.9361768806683267,0.06617036203860063,0.06617257307138764,0.06617297535229431
binary,PR,0.045,0.9360123856826085,0.9360987983906338,0.9361767017172536,0.06617037005724985,0.06617258384966448,0.06617297251830596
binary,PR,0.0475,0.9360128947536167,0.9360990671668175,0.9361765273314401,0.0661703781207386,0.06617259342088874,0.066172969756615
binary,PR,0.05,0.9360134066489607,0.9360993378691265,0.9361763572467543,0.06617038622895892,0.06617260192504254,0.06617296706303946
binary,PR,0.0525,0.9360139213613915,0.9360996104825462,0.9361761912465221,0.06617039438179569,0.06617260948198479,0.06617296443414668
binary,PR,0.055,0.9360144388836071,0.9360998849918244,0.936176029150342,0.06617040257913298,0.0661726161949293,0.06617296186708108
